WSTAFRCN BB,Intermediate West African Pidgin 001,Ehineni,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0a4f77a81da22f38cc9f9db64608cb7cb24e43c9341e0fa89694f6c63da1d3a19fe9c5830bd5d7ef071a1414652ba578&ReportType=2&regl=en-US,5.0,5.0,100.0,4.8,4.8,5.0,4.6,5.0,4.8,5.0,5.0,4.8,5.0,4.75,5.0,3.8,4.8,0.9986633658409119
YORUBA AB,Elementary Yoruba 001,Ehineni,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9f67220c08a01fc6502dd59cfc4cfc99f7d7249461fb5a8211f771091b8025d5c5605e5017ba43a8ead6422f52a9c997&ReportType=2&regl=en-US,9.0,6.0,66.0,3.8,3.8,4.2,4.4,2.0,3.8,3.8,4.2,4.2,4.2,4.4,4.2,2.2,4.0,0.9964922815561295
ZULU AB,Elementary Zulu 001,Mugane,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=02c7ff07bebaa861191c9dec5faafa64c6dcff3310a7d7bfb953216f8015f534ce0de5e6edc44abb991603e6b85ae1b9&ReportType=2&regl=en-US,48.0,41.0,85.0,4.63,3.96,4.32,4.56,4.67,nan,nan,nan,nan,nan,nan,nan,3.42,4.56,0.7194670915603638
ANTHRO 97Z,Sophomore Tutorial: Anthropology as Social Theory and the Social Theory of Anthropology 001,Coleman,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cf2f48d29dc3a591867b626a1239b1adb90ff5ded1661c0197e6442b7455f321bc6b8f1b61db0789b285e5a87e9024c6&ReportType=2&regl=en-US,16.0,12.0,75.0,3.67,3.92,3.75,4.08,4.0,4.27,3.91,4.0,4.36,4.2,3.8,4.2,7.92,3.75,0.9583688735961914
ANTHRO 98B,Junior Tutorial for Thesis Writers in Anthropology 001,Khaira,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=39e7a23d92360be248ec2c01b8b662d487e8ca50e57fd985c80624dd3dc6cd49bbd0b6368b999de823b1a5e52e9fdcd8&ReportType=2&regl=en-US,8.0,7.0,87.0,5.0,4.83,4.86,5.0,5.0,nan,nan,nan,nan,nan,nan,nan,4.71,5.0,0.9984238862991333
ANTHRO 99B,Thesis Tutorial in Anthropology - Senior Year 001,Khaira,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f778073562804fa58de7be4291ffc6f080d37d9b1c2c0d3c68c5d698ebf3b8f4f0b6b12d8fb4aca984359d2f6289684b&ReportType=2&regl=en-US,19.0,17.0,89.0,4.06,4.33,4.25,4.44,4.0,4.5,nan,4.5,4.0,nan,4.0,4.0,9.73,4.58,0.39214470982551575
ANTHRO 1150,Ancient Landscapes 001,Ur,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=03701ba3ac1e13cb211ce4c73c325284409afec694d1723ddf4288a1732295579df59d45764f92f865bafc3908cc19ea&ReportType=2&regl=en-US,5.0,5.0,100.0,4.6,4.8,3.8,3.4,5.0,4.8,4.8,4.6,4.8,4.6,3.4,3.25,8.4,4.4,0.9819753170013428
ANTHRO 1435,Challenging Collections: Critical Reflections on Collecting Through Harvard’s History 001,Loren,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e21686bd4ccb0c7c79548a85a42e035dd57bc73f56a2484755ec719a1fa1b8d06b624bba1ba5e82fbfe344f735b52173&ReportType=2&regl=en-US,8.0,7.0,87.0,4.86,4.71,4.86,4.71,5.0,5.0,5.0,5.0,5.0,5.0,4.86,5.0,3.14,5.0,0.9728989998499552
ANTHRO 1475,"Religious Dimensions in Human Experience: Apocalypse, Sports, Music, Home, Sacrifice, Medicine 001",Carrasco,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=32d82e78de34ce99b74c66812bb6fd6834ca89a56c1afbfdbf35c31f74e8982fb378d5d9455dcee9b8a56e372f1784b4&ReportType=2&regl=en-US,53.0,35.0,66.0,4.22,4.22,4.28,4.31,4.12,4.78,4.62,4.55,4.81,4.82,4.8,4.89,3.32,4.12,0.5807959238688151
ANTHRO 1617,"The Price of Solidarity: Value, Sacrifice, Capital 001",Fierman,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6d1eba807a72a1570cb3d5080b35aa16ba6ee45c2b3cf125c3b019d414a440a6e9900c16abd89a5c012c6461d5c40c5a&ReportType=2&regl=en-US,9.0,6.0,66.0,4.67,4.67,4.5,4.67,3.5,5.0,4.83,5.0,5.0,5.0,5.0,4.6,5.17,4.5,0.9781371355056763
